                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.58867,                 0.7604,                0.49415,                0.92709,                0.88711,                0.83332,                0.87271,                0.72801,                0.91861,                 0.7361,                0.80647,                0.60335,                0.68685,                 1.8024,                 0.6805,                0.79433,              0.0013369,              0.0013369,              0.0013369
                    102,                0.56622,                0.87089,                0.49421,                0.93129,                0.88706,                0.82267,                0.87729,                0.72278,                0.92412,                0.73544,                0.80384,                0.61407,                0.69033,                   1.88,                0.71112,                0.79933,              0.0013336,              0.0013336,              0.0013336
                    103,                0.57385,                 0.7238,                0.48007,                0.91699,                0.92678,                0.83036,                0.87795,                0.73211,                0.95547,                0.72874,                0.82354,                0.61258,                0.67825,                 1.7942,                0.70064,                0.79156,              0.0013303,              0.0013303,              0.0013303
                    104,                0.58728,                0.76834,                0.51344,                0.92458,                0.94659,                0.85689,                 0.8825,                0.74866,                0.86754,                0.78646,                0.81165,                0.63002,                0.60673,                 1.6505,                0.60363,                0.73262,               0.001327,               0.001327,               0.001327
                    105,                0.57152,                0.83845,                0.48854,                0.92635,                0.90845,                0.86979,                0.89516,                0.75537,                 0.9232,                0.78504,                 0.8414,                0.64921,                0.62084,                 1.5922,                0.60824,                 0.7517,              0.0013237,              0.0013237,              0.0013237
                    106,                0.59314,                0.83992,                0.49731,                0.91756,                0.91809,                0.87894,                0.89737,                0.73061,                0.93754,                0.80737,                0.86515,                0.66085,                0.65775,                 1.4781,                0.62135,                0.78476,              0.0013204,              0.0013204,              0.0013204
                    107,                0.56632,                0.82465,                0.47568,                0.92375,                0.89994,                0.82217,                0.90043,                0.74456,                0.97669,                0.74981,                0.83934,                0.63514,                0.63757,                 1.4217,                0.61151,                0.76495,              0.0013171,              0.0013171,              0.0013171
                    108,                0.57597,                0.86463,                0.48568,                0.92283,                0.91104,                0.81027,                0.88332,                0.74055,                0.93379,                0.73884,                 0.8147,                0.62591,                0.63945,                 1.2786,                0.62844,                0.73262,              0.0013138,              0.0013138,              0.0013138
                    109,                0.57283,                0.83896,                0.47981,                0.91139,                0.90746,                0.83254,                0.88739,                  0.745,                 0.9495,                0.72693,                0.80357,                0.62229,                0.66185,                 1.3086,                0.62377,                0.74191,              0.0013105,              0.0013105,              0.0013105
                    110,                0.55496,                0.78542,                0.46958,                0.90563,                0.93178,                0.82298,                0.88384,                0.74783,                  0.957,                0.73548,                0.82022,                 0.6114,                0.68457,                 1.4168,                0.59692,                 0.7541,              0.0013072,              0.0013072,              0.0013072
                    111,                0.59525,                 0.7592,                0.49586,                0.92452,                0.93399,                0.82217,                0.88135,                0.74837,                0.96722,                0.75074,                 0.8355,                0.61813,                0.68932,                 1.5308,                0.63467,                 0.7481,              0.0013039,              0.0013039,              0.0013039
                    112,                0.58635,                0.77878,                0.47532,                0.91315,                0.91675,                0.84598,                0.88141,                 0.7482,                0.92423,                0.75074,                0.82295,                 0.6255,                0.64459,                 1.5926,                0.60615,                0.73506,              0.0013006,              0.0013006,              0.0013006
                    113,                0.56146,                0.71863,                0.47357,                0.91502,                0.90661,                0.81378,                0.87749,                0.75246,                0.94025,                0.73847,                0.81023,                0.62617,                0.63772,                 1.5626,                0.59902,                0.72536,              0.0012973,              0.0012973,              0.0012973
                    114,                 0.5959,                0.88969,                0.49168,                 0.9194,                0.87174,                0.89004,                0.90421,                0.74147,                 0.9545,                0.73884,                0.80426,                0.61423,                0.66935,                 1.4397,                0.63264,                0.74631,               0.001294,               0.001294,               0.001294
                    115,                0.61045,                 0.8625,                0.49983,                0.92978,                 0.9549,                 0.8152,                0.89939,                0.74955,                0.95103,                0.73671,                0.81099,                0.60805,                0.66029,                 1.3125,                0.61455,                0.79285,              0.0012907,              0.0012907,              0.0012907
                    116,                0.55619,                 0.7746,                0.45661,                0.92061,                0.94407,                0.82217,                0.89589,                0.74222,                0.93335,                0.75795,                 0.8213,                0.60488,                0.69484,                 1.3486,                0.65147,                0.77428,              0.0012874,              0.0012874,              0.0012874
                    117,                0.59332,                0.74227,                0.47436,                 0.9417,                0.94778,                0.83543,                0.88893,                0.73831,                0.94059,                0.75914,                0.82194,                0.60955,                0.72189,                 1.2974,                0.63459,                0.81637,              0.0012841,              0.0012841,              0.0012841
                    118,                0.58388,                0.80457,                 0.4824,                0.92286,                0.96043,                0.82928,                0.87837,                0.72471,                0.97111,                0.73884,                0.80658,                0.61894,                0.73822,                 1.3889,                0.62554,                0.82759,              0.0012808,              0.0012808,              0.0012808
                    119,                0.57345,                0.88063,                 0.4847,                0.90315,                0.94413,                0.81916,                 0.8747,                0.71106,                0.92546,                0.73884,                 0.8009,                0.59376,                0.73086,                 1.4916,                0.72187,                0.78824,              0.0012775,              0.0012775,              0.0012775
                    120,                 0.6021,                0.70839,                0.48734,                0.92951,                0.95028,                0.78646,                0.87054,                 0.6916,                0.89285,                0.73884,                0.79245,                0.55004,                0.76298,                 1.6488,                0.79001,                0.81915,              0.0012742,              0.0012742,              0.0012742
                    121,                0.58648,                 0.8085,                0.48017,                0.92308,                0.90165,                0.81845,                0.86795,                0.73942,                0.90563,                 0.6994,                0.77486,                0.58343,                0.69697,                 1.5989,                0.72523,                 0.7782,              0.0012709,              0.0012709,              0.0012709
                    122,                0.59039,                0.74859,                0.48839,                 0.9218,                0.94551,                 0.8607,                0.88478,                0.74164,                0.85987,                0.76216,                0.79108,                0.60863,                0.64276,                 1.5344,                 0.6519,                0.73888,              0.0012676,              0.0012676,              0.0012676
                    123,                0.57736,                0.87159,                 0.4746,                0.92113,                0.91115,                0.83408,                0.88187,                 0.7247,                0.92033,                0.72684,                0.78099,                0.58609,                0.66433,                 1.5553,                0.69418,                0.74181,              0.0012643,              0.0012643,              0.0012643
                    124,                0.57253,                0.77066,                0.48414,                0.91547,                0.96693,                0.71194,                0.85766,                0.71655,                0.90352,                0.67362,                0.73061,                0.53705,                0.69558,                 1.6395,                 0.7062,                0.74005,               0.001261,               0.001261,               0.001261
                    125,                0.59824,                0.98026,                0.49924,                0.93385,                0.96557,                0.73672,                0.85183,                0.73149,                0.92341,                0.69114,                0.76529,                0.58584,                0.68754,                 1.4579,                0.68704,                0.73476,              0.0012577,              0.0012577,              0.0012577
                    126,                0.66238,                0.86631,                 0.5147,                0.95129,                0.95254,                0.71634,                 0.8517,                0.74575,                0.92186,                 0.6756,                0.76903,                0.60662,                0.66248,                 1.4274,                0.67453,                0.70409,              0.0012544,              0.0012544,              0.0012544
                    127,                0.57927,                0.82801,                0.49436,                0.91041,                0.94767,                0.80914,                0.89332,                0.76173,                0.90225,                0.70799,                0.79598,                0.62207,                0.62287,                 1.5991,                0.61655,                0.69698,              0.0012511,              0.0012511,              0.0012511
                    128,                0.57306,                0.77206,                0.46456,                0.90018,                0.94845,                0.84598,                0.88042,                0.76349,                0.89298,                0.75074,                0.79791,                0.61512,                0.65132,                 1.6906,                 0.6155,                0.75761,              0.0012478,              0.0012478,              0.0012478
                    129,                 0.5576,                0.72776,                0.43768,                0.91299,                0.95958,                 0.8191,                0.88343,                0.75417,                0.89831,                0.76986,                   0.81,                0.61093,                0.67461,                 1.7791,                 0.6265,                0.80263,              0.0012445,              0.0012445,              0.0012445
                    130,                0.56051,                0.74951,                0.45175,                0.91118,                0.93118,                0.84598,                0.88805,                0.76506,                0.89163,                0.78646,                0.80924,                0.60551,                0.64986,                 1.8097,                 0.6714,                0.78321,              0.0012412,              0.0012412,              0.0012412
                    131,                0.56532,                0.77762,                 0.4477,                0.92437,                0.88361,                 0.8063,                0.88798,                0.75892,                0.98233,                0.72471,                0.83798,                0.63911,                0.61461,                 1.7496,                0.71874,                0.72344,              0.0012379,              0.0012379,              0.0012379
                    132,                0.53665,                0.75631,                0.44074,                0.91027,                 0.9406,                 0.7833,                0.88941,                0.75609,                0.92051,                0.75074,                0.81794,                0.63165,                0.67678,                 1.4933,                0.75574,                0.76606,              0.0012346,              0.0012346,              0.0012346
                    133,                0.54116,                0.71464,                0.44064,                0.90664,                0.92795,                0.81565,                0.88581,                0.74446,                0.93211,                0.75074,                0.81853,                0.63706,                0.67038,                 1.4273,                0.70468,                0.78246,              0.0012313,              0.0012313,              0.0012313
                    134,                0.55561,                0.77406,                0.46735,                0.91353,                0.93425,                0.85287,                0.90074,                 0.7469,                0.93885,                0.76265,                0.82393,                0.62066,                0.63181,                 1.4254,                0.63887,                0.76806,               0.001228,               0.001228,               0.001228
                    135,                0.52412,                0.72852,                0.43045,                0.90634,                0.88363,                0.87522,                0.89442,                0.76349,                0.88234,                0.72693,                0.78212,                0.61883,                0.62773,                 1.4569,                 0.5968,                0.74766,              0.0012247,              0.0012247,              0.0012247
                    136,                0.59039,                0.89106,                 0.4633,                0.92077,                0.87617,                0.86979,                0.90162,                0.75821,                0.78247,                0.78646,                0.79131,                0.61696,                0.62615,                 1.5755,                 0.6441,                0.73393,              0.0012214,              0.0012214,              0.0012214
                    137,                0.57826,                0.77092,                0.47794,                0.92223,                0.88387,                0.85789,                0.90244,                 0.7515,                0.77106,                0.76265,                0.78351,                0.60304,                0.62004,                 1.7045,                 0.6901,                0.73648,              0.0012181,              0.0012181,              0.0012181
                    138,                0.57336,                 0.7845,                0.48023,                0.91912,                0.94508,                0.87883,                0.91368,                0.76321,                0.94692,                 0.7808,                0.83171,                0.61035,                0.60176,                 1.8499,                0.63141,                0.72769,              0.0012148,              0.0012148,              0.0012148
                    139,                0.57461,                0.84228,                0.48458,                0.91082,                0.90266,                 0.8936,                0.91651,                 0.7689,                0.94152,                0.74784,                0.81024,                0.60554,                0.60154,                 1.4919,                0.58318,                0.72672,              0.0012115,              0.0012115,              0.0012115
                    140,                0.54393,                0.80288,                0.45358,                0.91538,                0.98037,                0.78646,                0.89782,                0.75606,                0.95442,                0.72551,                0.79058,                0.60983,                 0.6991,                 1.4178,                 0.6454,                0.79169,              0.0012082,              0.0012082,              0.0012082
                    141,                0.57369,                0.92418,                0.47471,                0.91391,                0.94885,                0.78554,                0.89365,                0.74352,                0.91348,                0.70156,                0.77655,                0.59944,                0.67449,                 1.3938,                0.70045,                0.77446,              0.0012049,              0.0012049,              0.0012049
                    142,                0.54855,                0.78839,                0.45722,                0.91765,                0.92887,                0.82092,                0.87477,                0.74259,                0.89635,                0.73884,                0.76244,                 0.5958,                0.63619,                 1.3962,                0.67085,                0.72905,              0.0012016,              0.0012016,              0.0012016
                    143,                 0.5412,                0.75535,                0.44908,                0.90598,                0.94259,                0.78646,                0.86764,                0.74672,                0.88282,                0.73884,                0.76345,                0.59413,                  0.631,                 1.4045,                 0.6809,                0.71011,              0.0011983,              0.0011983,              0.0011983
                    144,                0.52129,                0.68121,                 0.4289,                 0.8989,                0.94072,                0.82523,                0.87979,                0.76112,                0.89246,                0.75074,                0.80467,                0.60149,                 0.6125,                 1.3916,                0.69802,                0.71929,               0.001195,               0.001195,               0.001195
                    145,                0.55811,                0.77065,                0.45079,                0.89886,                0.94866,                0.81027,                0.88973,                0.77144,                0.93953,                0.75074,                0.82552,                0.61926,                0.61387,                 1.4464,                0.71693,                0.73047,              0.0011917,              0.0011917,              0.0011917
                    146,                 0.5526,                0.73045,                0.45049,                0.90517,                0.95781,                0.81027,                0.89753,                0.75175,                0.93596,                0.78697,                0.83525,                0.58752,                0.63344,                 1.8252,                0.73875,                0.74084,              0.0011884,              0.0011884,              0.0011884
                    147,                0.58516,                0.83274,                 0.4541,                0.90906,                0.95084,                0.78126,                0.88347,                0.75024,                0.94145,                0.77455,                0.83021,                0.61491,                0.64878,                 1.4844,                0.75405,                0.73623,              0.0011851,              0.0011851,              0.0011851
                    148,                0.57696,                0.75983,                0.46047,                0.92795,                0.91804,                0.84598,                0.88838,                0.76575,                0.95357,                0.74878,                0.81812,                0.62828,                0.63433,                 1.4747,                0.76422,                 0.7249,              0.0011818,              0.0011818,              0.0011818
                    149,                0.54061,                0.75789,                0.44679,                0.91171,                0.95169,                0.85789,                0.89972,                0.76623,                0.95459,                0.75039,                  0.821,                0.61064,                0.63458,                 1.5664,                 0.7218,                0.73146,              0.0011785,              0.0011785,              0.0011785
                    150,                  0.551,                0.79005,                0.45623,                0.90262,                0.96334,                0.86979,                  0.916,                0.77309,                 0.9064,                0.82125,                0.83998,                0.63222,                0.62046,                 1.5681,                0.60275,                0.73228,              0.0011752,              0.0011752,              0.0011752
                    151,                0.53365,                0.73426,                0.43445,                0.89382,                0.95379,                0.86584,                0.92104,                 0.7814,                0.88112,                0.75074,                0.80566,                0.62841,                0.60615,                 1.4006,                0.60999,                0.71574,              0.0011719,              0.0011719,              0.0011719
                    152,                0.54024,                0.73237,                0.43283,                 0.9056,                0.89694,                0.89035,                 0.9109,                 0.7746,                0.89753,                 0.7699,                 0.8217,                 0.6322,                0.63789,                 1.3066,                0.63556,                0.72945,              0.0011686,              0.0011686,              0.0011686
                    153,                0.53263,                0.77795,                0.44437,                0.90023,                0.92574,                0.86934,                0.91903,                0.77035,                 0.8847,                0.80474,                  0.835,                0.64314,                 0.6446,                 1.3272,                0.67265,                0.74482,              0.0011653,              0.0011653,              0.0011653
                    154,                 0.5063,                0.71566,                0.42984,                0.89785,                0.94349,                0.81027,                0.91154,                0.76278,                0.99134,                0.71503,                0.81209,                0.61535,                0.66234,                 1.4013,                 0.7024,                0.78163,               0.001162,               0.001162,               0.001162
                    155,                0.53347,                0.74006,                0.43768,                0.89777,                0.92503,                0.82136,                0.89697,                0.75565,                0.95755,                0.71146,                0.79317,                 0.6052,                0.68162,                 1.3334,                0.65424,                0.76512,              0.0011587,              0.0011587,              0.0011587
                    156,                 0.5531,                0.82778,                 0.4549,                0.91429,                0.98396,                0.83146,                0.90596,                0.74717,                0.93345,                0.71503,                0.78934,                0.61003,                0.67488,                   1.48,                0.57798,                0.74882,              0.0011554,              0.0011554,              0.0011554
                    157,                 0.5359,                0.71553,                0.42612,                0.88546,                0.96717,                0.83408,                0.90676,                0.73097,                0.91196,                0.76277,                 0.8152,                0.60849,                0.67074,                 1.6188,                0.59101,                0.75961,              0.0011521,              0.0011521,              0.0011521
                    158,                0.55769,                0.72751,                0.44623,                0.89883,                0.92652,                0.86677,                0.91925,                0.74369,                 0.8852,                0.78646,                0.82818,                0.62662,                0.67852,                  1.691,                 0.6112,                0.81219,              0.0011488,              0.0011488,              0.0011488
                    159,                0.57135,                0.79473,                0.45547,                0.92832,                0.94891,                0.82217,                0.91275,                0.76623,                0.87393,                0.76265,                0.81156,                0.62352,                0.60643,                 1.5227,                0.55387,                 0.7391,              0.0011455,              0.0011455,              0.0011455
                    160,                0.55918,                0.71313,                0.43658,                 0.9095,                0.88363,                0.86979,                 0.9007,                0.77088,                0.92279,                 0.7333,                0.80385,                0.63564,                0.60374,                 1.5387,                 0.5441,                0.71959,              0.0011422,              0.0011422,              0.0011422
                    161,                0.50342,                0.68135,                0.41845,                0.88342,                0.89338,                0.84598,                0.89611,                0.76976,                0.90119,                0.73884,                 0.8018,                0.63065,                0.59605,                 1.5632,                0.53229,                0.70989,              0.0011389,              0.0011389,              0.0011389
                    162,                0.52223,                0.72001,                0.43731,                0.90072,                0.95957,                0.80588,                0.89278,                0.77509,                0.89426,                0.75836,                0.80196,                 0.6275,                0.59392,                 1.6485,                0.55035,                0.69543,              0.0011356,              0.0011356,              0.0011356
                    163,                0.53297,                0.72145,                0.43683,                0.89989,                0.91715,                0.83764,                0.90041,                0.77724,                0.92056,                0.71503,                0.79058,                0.62657,                0.58871,                 1.5547,                0.56082,                0.69898,              0.0011323,              0.0011323,              0.0011323
                    164,                0.52704,                0.66678,                 0.4216,                0.88629,                0.91845,                0.84598,                0.90351,                 0.7732,                 0.9872,                0.75074,                0.83264,                0.62777,                0.59347,                 1.5004,                0.56407,                0.69681,               0.001129,               0.001129,               0.001129
                    165,                0.52761,                0.73782,                0.45147,                0.92665,                0.92219,                0.83408,                 0.9036,                0.77622,                0.94954,                0.72693,                0.81026,                0.61611,                0.57563,                 1.3739,                0.57612,                0.68835,              0.0011257,              0.0011257,              0.0011257
                    166,                0.50851,                0.73759,                0.42952,                0.88682,                0.95484,                0.83927,                0.91272,                0.79067,                0.89666,                0.78635,                0.82573,                0.62303,                0.55409,                 1.5584,                0.60606,                0.67209,              0.0011224,              0.0011224,              0.0011224
                    167,                0.54664,                0.78255,                0.44088,                0.91586,                0.94355,                 0.8936,                0.90959,                0.78111,                0.94106,                0.78646,                0.84209,                0.64551,                 0.5745,                 1.6264,                0.58336,                0.68316,              0.0011191,              0.0011191,              0.0011191
                    168,                0.50835,                0.73675,                0.42624,                0.90557,                0.96767,                0.81027,                0.90182,                0.77163,                0.95393,                0.76265,                0.81997,                0.62005,                0.53846,                 1.6852,                0.55298,                0.68659,              0.0011158,              0.0011158,              0.0011158
                    169,                0.54723,                0.80097,                0.43723,                0.90857,                0.93469,                0.85802,                0.90354,                0.77615,                0.96889,                0.77455,                0.83962,                0.61371,                0.55784,                 1.7179,                0.56072,                 0.6856,              0.0011125,              0.0011125,              0.0011125
                    170,                0.51639,                0.72752,                0.41139,                0.90014,                0.93153,                 0.8936,                0.90441,                0.77266,                0.95156,                0.77455,                0.83255,                0.62315,                0.58176,                 1.6538,                0.60425,                0.70301,              0.0011092,              0.0011092,              0.0011092
                    171,                 0.5236,                0.71469,                0.41861,                0.89739,                 0.9249,                0.86979,                0.91024,                0.78055,                0.95678,                0.78577,                0.84357,                0.65007,                0.59857,                 1.5289,                0.64236,                 0.7019,              0.0011059,              0.0011059,              0.0011059
                    172,                0.52168,                0.72125,                0.42951,                0.90058,                0.93005,                 0.8817,                0.90492,                0.79657,                0.92107,                0.75074,                0.81484,                0.63982,                0.56713,                 1.4625,                0.57833,                 0.6847,              0.0011026,              0.0011026,              0.0011026
                    173,                0.51386,                 0.7035,                0.41608,                0.89091,                0.90536,                 0.8936,                0.91122,                0.80075,                0.90421,                0.79836,                0.83553,                0.64574,                 0.5707,                 1.4864,                0.57996,                0.68835,              0.0010993,              0.0010993,              0.0010993
                    174,                0.55091,                0.70777,                0.42748,                0.90962,                0.93584,                0.88563,                0.92577,                0.79887,                0.93651,                0.79475,                0.83591,                0.63362,                0.58712,                  1.647,                0.59982,                0.68631,               0.001096,               0.001096,               0.001096
                    175,                0.54017,                0.67188,                0.42173,                0.90592,                0.94638,                0.86979,                0.91382,                0.77804,                0.88908,                0.79873,                0.82645,                0.64497,                0.59931,                 1.7516,                0.61341,                0.67456,              0.0010927,              0.0010927,              0.0010927
                    176,                0.50781,                0.71884,                0.40805,                0.88687,                0.91744,                0.89645,                0.91335,                0.78067,                0.88298,                0.77455,                0.80816,                0.64312,                0.59115,                 1.7528,                0.62159,                0.67633,              0.0010894,              0.0010894,              0.0010894
                    177,                0.51783,                0.68905,                0.40867,                0.89902,                0.94875,                0.90188,                0.92953,                0.78349,                0.92314,                0.75074,                0.80461,                0.62883,                 0.5765,                 1.7869,                0.61181,                0.68071,              0.0010861,              0.0010861,              0.0010861
                    178,                0.48972,                0.64926,                0.38998,                0.89082,                0.96387,                0.84598,                0.91637,                0.79456,                0.88896,                0.78646,                0.82371,                 0.6377,                0.56115,                 1.8256,                0.60588,                0.69971,              0.0010828,              0.0010828,              0.0010828
                    179,                0.54593,                0.64198,                0.42105,                0.89615,                0.97355,                0.85502,                0.91395,                0.78246,                  0.916,                0.80798,                0.84543,                0.63473,                0.58036,                 1.8775,                0.63199,                0.69045,              0.0010795,              0.0010795,              0.0010795
                    180,                 0.5132,                0.77711,                0.40841,                0.87508,                0.98636,                0.86615,                0.91061,                0.76886,                0.87971,                0.77455,                0.79371,                0.60847,                0.64501,                 1.6952,                0.73199,                0.74079,              0.0010762,              0.0010762,              0.0010762
                    181,                0.51213,                0.73124,                0.40433,                0.88429,                0.97237,                0.83496,                 0.8928,                  0.751,                0.87357,                0.76265,                0.77313,                0.60191,                0.65673,                    1.6,                0.76957,                0.73202,              0.0010729,              0.0010729,              0.0010729
                    182,                0.51366,                0.72977,                0.43241,                0.90106,                0.95971,                0.80869,                0.88576,                0.75408,                0.84118,                0.77223,                0.77839,                0.60373,                0.63198,                 1.4822,                0.76941,                0.72723,              0.0010696,              0.0010696,              0.0010696
                    183,                0.50617,                0.69499,                0.43151,                0.89555,                0.95994,                0.80655,                 0.9039,                0.76626,                0.88528,                0.71131,                 0.7767,                0.60633,                0.60438,                  1.374,                0.77198,                0.71019,              0.0010663,              0.0010663,              0.0010663
                    184,                0.49739,                0.69937,                0.40349,                0.89751,                0.93392,                0.84093,                0.90508,                 0.7715,                0.95413,                0.72626,                0.80414,                0.61482,                0.57732,                 1.5066,                0.81238,                0.69782,               0.001063,               0.001063,               0.001063
                    185,                0.50098,                0.76671,                0.40308,                0.86959,                 0.9451,                0.85154,                0.90682,                0.77915,                0.97204,                0.73719,                0.82806,                0.63285,                0.58683,                 1.4811,                0.80312,                0.69315,              0.0010597,              0.0010597,              0.0010597
                    186,                0.51692,                0.66139,                0.41288,                0.91801,                 0.9363,                0.85746,                0.89751,                0.77391,                0.86744,                0.78646,                0.81226,                 0.6141,                0.60448,                 1.5818,                0.74145,                0.70434,              0.0010564,              0.0010564,              0.0010564
                    187,                0.50335,                0.75885,                0.40693,                 0.8888,                0.92429,                0.87561,                 0.9007,                0.76577,                0.88115,                0.77455,                0.80585,                0.61447,                0.65795,                 1.6922,                0.70983,                0.72927,              0.0010531,              0.0010531,              0.0010531
                    188,                0.52321,                0.82349,                0.41635,                0.89857,                 0.9493,                0.86979,                0.90042,                0.76369,                0.84121,                0.77455,                0.79047,                 0.6087,                0.68473,                 1.6827,                0.63642,                0.74637,              0.0010498,              0.0010498,              0.0010498
                    189,                0.53444,                0.71828,                 0.4181,                0.87376,                0.94576,                0.86979,                0.90782,                0.76472,                0.95274,                0.74708,                0.80686,                0.61163,                0.65665,                 1.6415,                0.60452,                 0.7535,              0.0010465,              0.0010465,              0.0010465
                    190,                0.50939,                0.71154,                 0.4181,                 0.8932,                0.90599,                0.86483,                0.90914,                0.75948,                0.83357,                0.75074,                0.78666,                0.61047,                0.69525,                 1.5892,                0.55274,                 0.7975,              0.0010432,              0.0010432,              0.0010432
                    191,                0.51829,                0.77227,                0.40525,                0.88788,                0.90732,                0.85789,                 0.8864,                0.75536,                0.87804,                0.73753,                0.80247,                 0.6081,                0.65621,                 1.5519,                0.55219,                0.74038,              0.0010399,              0.0010399,              0.0010399
                    192,                0.51399,                0.67879,                0.41223,                0.88947,                0.92605,                0.84086,                0.89183,                0.76183,                0.90194,                0.75298,                0.80333,                0.63135,                0.61053,                 1.6413,                0.56685,                0.68944,              0.0010366,              0.0010366,              0.0010366
                    193,                0.53503,                 0.6877,                0.40881,                0.87737,                0.90616,                0.86873,                0.89489,                0.75583,                0.93003,                0.74455,                   0.82,                0.62167,                0.60884,                 1.6745,                0.56355,                0.68827,              0.0010333,              0.0010333,              0.0010333
                    194,                0.54023,                0.74452,                0.40472,                0.88742,                0.92093,                0.86979,                 0.9088,                0.75793,                0.99059,                0.75068,                0.84442,                0.62857,                0.64573,                 1.7703,                0.56107,                0.70808,                0.00103,                0.00103,                0.00103
