                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.77689,                0.88732,                0.91772,                   1.04,                0.92467,                0.73884,                0.78035,                0.64425,                0.95188,                0.69874,                0.75649,                0.55371,                0.93301,                 2.1186,                 1.0355,                 1.0932,              0.0015911,              0.0015911,              0.0015911
                     25,                 0.7741,                0.96982,                0.84626,                 1.0184,                0.90661,                0.70269,                 0.7684,                0.64329,                0.95931,                0.65551,                0.72234,                0.56127,                0.84991,                  1.932,                 1.0145,                  1.012,              0.0015878,              0.0015878,              0.0015878
                     26,                0.76183,                 1.1085,                0.86181,                 1.0248,                0.95584,                0.66698,                0.73563,                0.59877,                0.97398,                 0.6754,                0.72717,                0.56145,                0.94097,                 1.9225,                 1.1818,                 1.0713,              0.0015845,              0.0015845,              0.0015845
                     27,                0.78692,                 1.0538,                 0.8542,                 1.0257,                0.91881,                0.66741,                0.77381,                0.62037,                0.91881,                0.66741,                0.74571,                0.52972,                 0.9388,                 1.6257,                 1.0994,                0.97018,              0.0015812,              0.0015812,              0.0015812
                     28,                0.78857,                 1.0781,                 0.8556,                 1.0491,                0.84998,                0.62285,                0.76979,                0.59677,                 0.8549,                0.62162,                0.72417,                0.48575,                0.99653,                 1.6608,                 1.8614,                0.95091,              0.0015779,              0.0015779,              0.0015779
                     29,                 0.7974,                 1.1016,                0.85256,                 1.0234,                0.88515,                0.63868,                0.73803,                0.58302,                0.87138,                0.61853,                0.69446,                0.49469,                0.97417,                 1.6483,                 1.7103,                0.96881,              0.0015746,              0.0015746,              0.0015746
                     30,                0.77872,                 1.0089,                0.88946,                 1.0531,                0.67216,                 0.5933,                0.63339,                0.41731,                0.66352,                0.37262,                0.39614,                0.19669,                 1.2549,                 4.7586,                 1.7082,                  1.195,              0.0015713,              0.0015713,              0.0015713
                     31,                0.76024,                 1.0673,                0.83331,                 1.0218,                0.85259,                0.65997,                0.79938,                0.64984,                0.79865,                0.62382,                0.68072,                0.34172,                0.95109,                 2.6591,                 1.2468,                0.93068,               0.001568,               0.001568,               0.001568
                     32,                0.77093,                 1.0471,                0.82535,                  1.013,                0.94284,                0.70153,                 0.8103,                0.62453,                0.88391,                0.69062,                0.74848,                0.47907,                0.97013,                 1.8955,                 1.2542,                 1.0888,              0.0015647,              0.0015647,              0.0015647
                     33,                0.76158,                 1.0308,                0.81934,                 1.0333,                0.95698,                0.69878,                0.81379,                0.65061,                 0.9349,                0.67932,                 0.7597,                0.52971,                0.84877,                 1.7567,                 1.1867,                 1.0328,              0.0015614,              0.0015614,              0.0015614
                     34,                0.72855,                 1.1219,                0.79859,                0.99378,                0.96612,                0.69943,                0.82457,                0.69025,                0.96418,                0.71525,                0.79897,                0.56681,                0.81797,                 1.8167,                 1.0599,                0.94126,              0.0015581,              0.0015581,              0.0015581
                     35,                0.75796,                 1.2297,                0.80568,                 1.0197,                0.93739,                0.72693,                0.82163,                0.69063,                0.89572,                0.70312,                0.77129,                0.56782,                0.84958,                 1.8139,                0.96618,                0.94878,              0.0015548,              0.0015548,              0.0015548
                     36,                0.79816,                0.93986,                0.78588,                 1.0219,                0.85944,                0.69571,                0.80041,                0.68347,                0.85944,                0.69571,                0.75855,                 0.5808,                0.85675,                 1.7146,                 1.0334,                0.92048,              0.0015515,              0.0015515,              0.0015515
                     37,                 0.7399,                   1.01,                0.76176,                 1.0227,                0.91316,                0.70109,                0.80031,                0.65595,                0.91577,                0.69398,                0.75305,                0.56134,                0.91113,                 1.7988,                 1.0583,                0.93828,              0.0015482,              0.0015482,              0.0015482
                     38,                0.74111,                 1.0186,                0.73768,                0.98399,                0.90933,                0.75066,                0.78411,                0.69147,                0.89173,                0.71677,                0.75449,                0.57344,                0.84038,                 1.7982,                 1.0001,                0.89189,              0.0015449,              0.0015449,              0.0015449
                     39,                0.71207,                0.99149,                0.71079,                0.97049,                0.96243,                0.72435,                 0.8116,                0.69101,                0.92391,                0.68531,                 0.7478,                0.57508,                 0.7668,                 1.6601,                0.95248,                0.87324,              0.0015416,              0.0015416,              0.0015416
                     40,                0.71871,                 1.0212,                0.71844,                 1.0023,                0.88968,                 0.7137,                0.80904,                0.67113,                0.85466,                0.69122,                0.73657,                0.54936,                0.80538,                 1.8133,                0.95727,                0.83484,              0.0015383,              0.0015383,              0.0015383
                     41,                 0.7244,                 1.0103,                0.69169,                 1.0027,                0.94783,                0.74433,                0.80272,                  0.678,                0.87648,                0.69917,                0.74362,                0.56676,                0.84553,                 1.6587,                  1.006,                0.86916,               0.001535,               0.001535,               0.001535
                     42,                0.69272,                0.89122,                0.70838,                0.96915,                0.91911,                0.76185,                0.82888,                0.66866,                0.86447,                0.71503,                0.76786,                0.57625,                0.82914,                 1.7332,                0.98721,                0.84687,              0.0015317,              0.0015317,              0.0015317
                     43,                0.68958,                 1.0449,                0.71495,                0.99829,                0.94109,                0.74286,                 0.8321,                 0.5748,                0.90357,                0.71914,                0.78295,                0.49715,                 1.0067,                 1.7735,                 1.1935,                 1.0191,              0.0015284,              0.0015284,              0.0015284
                     44,                0.72265,                 1.1541,                0.70112,                0.97213,                0.85986,                0.75893,                0.81404,                0.61102,                0.86944,                0.73713,                  0.796,                0.56233,                0.95195,                 1.5955,                 1.0764,                 1.0141,              0.0015251,              0.0015251,              0.0015251
                     45,                0.65454,                 0.9131,                0.65958,                0.96648,                0.88707,                0.75893,                0.82547,                0.59248,                0.93445,                0.71503,                0.79355,                0.52275,                  1.046,                 1.5253,                 1.0696,                 1.2351,              0.0015218,              0.0015218,              0.0015218
                     46,                0.67838,                 1.0143,                0.66838,                0.99882,                0.91438,                0.71529,                 0.8222,                0.62723,                0.89287,                0.70345,                0.78484,                0.53766,                  1.015,                 1.4631,                 1.0281,                 1.1177,              0.0015185,              0.0015185,              0.0015185
